Loading files...
200 spam files
200 ham files

50% used for training and 50% used for testing

Splitting data...
200 spam files
200 ham files

Spam: 100 training files and 100 test files
Ham:  100 training files and 100 test files

Making Suffix Tree...

Testing Data...
testing spam 100

testing ham 100

Done!!!


Stats:
TH       SS       SH       HS       HH       Accuracy TPR      FPR      TNR      FNR
2.08     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.09     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.10     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.11     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.12     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.13     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.14     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.15     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.16     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.17     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.18     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.19     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.20     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.21     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.22     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.23     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.24     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.25     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.26     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.27     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.28     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.29     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.30     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.31     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.32     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.33     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.34     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.35     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.36     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.37     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.38     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.39     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.40     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.41     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.42     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.43     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.44     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.45     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.46     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.47     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.48     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.49     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.50     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.51     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.52     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.53     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.54     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.55     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.56     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.57     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.58     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.59     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.60     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.61     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.62     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.63     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.64     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.65     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.66     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.67     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.68     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.69     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.70     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.71     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.72     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.73     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.74     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.75     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.76     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.77     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.78     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.79     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.80     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.81     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.82     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.83     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.84     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.85     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.86     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.87     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.88     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.89     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.90     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.91     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.92     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.93     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.94     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.95     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.96     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.97     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.98     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
2.99     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.00     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.01     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.02     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.03     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.04     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.05     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.06     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.07     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.08     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.09     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.10     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.11     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.12     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.13     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.14     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.15     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.16     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.17     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.18     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.19     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.20     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.21     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.22     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.23     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.24     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.25     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.26     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.27     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.28     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.29     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.30     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.31     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.32     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.33     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.34     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.35     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.36     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.37     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.38     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.39     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.40     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.41     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.42     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.43     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.44     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.45     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.46     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.47     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.48     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.49     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.50     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.51     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.52     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.53     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.54     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.55     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.56     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.57     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.58     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.59     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.60     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.61     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.62     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.63     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.64     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.65     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.66     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.67     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.68     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.69     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.70     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.71     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.72     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.73     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.74     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.75     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.76     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.77     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.78     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.79     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.80     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.81     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.82     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.83     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.84     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.85     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.86     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.87     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.88     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.89     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.90     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.91     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.92     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.93     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.94     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.95     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.96     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.97     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.98     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
3.99     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
4.00     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
4.01     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
4.02     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
4.03     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
4.04     100      0        100      0        0.500    1.000    1.000    0.000    0.000    
